Name,Height,Weight,Age,PTS,REB,AST,NETRTG
Malik Beasley,6-4,187,24,19.6,4.4,2.4,-7.2
Malik Fitts,6-8,230,23,1,1,0,-27.3
Malik Monk,6-3,200,23,11.7,2.4,2.1,0.8
Mamadi Diakite,6-9,228,24,3.1,2.4,0.6,3.8
Marc Gasol,6-11,255,36,5,4.1,2.1,4.3
Marcus Morris Sr.,6-8,218,31,13.4,4.1,1,4.2
Marcus Smart,6-3,220,27,13.1,3.5,5.7,2.8
Markelle Fultz,6-3,209,23,12.9,3.1,5.4,-6.5
Markieff Morris,6-9,245,31,6.7,4.4,1.2,0.8
Markus Howard,5-10,175,22,2.8,0.6,0.5,-17
Marques Bolden,6-10,249,23,1.2,1,0,12.3
Marquese Chriss,6-9,240,23,6.5,6.5,1,-40.3
Marvin Bagley III,6-11,235,22,14.1,7.4,1,-3.7
Mason Jones,6-4,200,22,5.3,1.7,1.3,-9.9
Mason Plumlee,6-11,254,31,10.4,9.3,3.6,-4.9
Matisse Thybulle,6-5,201,24,3.9,1.9,1,4.6
Matt Thomas,6-4,190,26,3.1,1,0.4,-9.3
Matthew Dellavedova,6-3,200,30,2.8,1.8,4.5,-3.1
Maurice Harkless,6-7,220,28,5.2,2.4,1.2,-2.9
Max Strus,6-5,215,25,6.1,1.1,0.6,-4.2
Maxi Kleber,6-10,240,29,7.1,5.2,1.4,4.6
Meyers Leonard,7-0,260,29,3.3,2.3,0.7,-1.4
Mfiondu Kabengele,6-9,250,23,2.4,1.5,0.4,-14.2
Michael Carter-Williams,6-5,190,29,8.8,4.5,4.2,-2.5
Michael Porter Jr.,6-10,218,23,19,7.3,1.1,8.3
Mikal Bridges,6-6,209,24,13.5,4.3,2.1,7.4
Mike Conley,6-1,175,33,16.2,3.5,6,16.7
Mike James,6-1,175,30,7.7,2.5,4.2,4.1
Mike Muscala,6-10,240,29,9.7,3.8,0.8,0.6
Mike Scott,6-7,237,32,4.2,2.4,0.8,-0.2
Miles Bridges,6-6,225,23,12.7,6,2.2,0.3
Mitchell Robinson,7-0,240,23,8.3,8.1,0.5,-0.4
Miye Oni,6-5,206,23,1.9,1.6,0.5,8.8
Mo Bamba,7-0,231,23,8,5.8,0.8,-12.9
Monte Morris,6-2,183,26,10.2,2,3.2,6.2
Montrezl Harrell,6-7,240,27,13.5,6.2,1.1,1.4
Moritz Wagner,6-11,245,24,6.9,3.2,1.1,-7.9
Moses Brown,7-2,245,21,8.6,8.9,0.2,-18.3
Mychal Mulder,6-3,184,27,5.6,1,0.4,2.9
Myles Turner,6-11,250,25,12.6,6.5,1,1.3
Naji Marshall,6-7,220,23,7.7,4.6,2.8,-1.5
Nassir Little,6-5,220,21,4.6,2.7,0.5,-2.2
Nate Darling,6-6,200,22,1.3,0.1,0.1,-54.3
Nate Hinton,6-5,210,22,2,0.4,0.4,-28.2
Nathan Knight,6-10,253,23,3.8,2.2,0.2,-4.3
Naz Reid,6-9,264,21,11.2,4.6,1,-9.7
Nemanja Bjelica,6-10,234,33,6.5,3.4,1.9,-6.7
Nerlens Noel,6-11,220,27,5.1,6.4,0.7,0.7
Nick Richards,7-0,245,23,0.8,0.6,0.1,-10.5
Nickeil Alexander-Walker,6-6,205,22,11,3.1,2.2,-3.3
Nico Mannion,6-2,190,20,4.1,1.5,2.3,-9.4
Nicolas Batum,6-8,230,32,8.1,4.7,2.2,8.9
Nicolas Claxton,6-11,215,22,6.6,5.2,0.9,12.3
Nicolo Melli,6-9,236,30,3,2.7,1,1.1
Nikola Jokic,6-11,284,26,26.4,10.8,8.3,7.7
Nikola Vucevic,6-11,260,30,23.4,11.7,3.8,-7
Noah Vonleh,6-10,257,25,0,0.3,0.3,-63.2
Norman Powell,6-3,215,28,18.6,3.1,1.9,1.8
Norvel Pelle,6-10,231,28,1.5,1.5,0.2,12.2
OG Anunoby,6-7,232,23,15.9,5.5,2.2,3.3
Obi Toppin,6-9,220,23,4.1,2.2,0.5,2.7
Onyeka Okongwu,6-8,235,20,4.6,3.3,0.4,-6.3
Oshae Brissett,6-7,210,23,10.9,5.5,0.9,6
Otto Porter Jr.,6-8,198,28,9.7,5.4,2,-3
P.J. Tucker,6-5,245,36,3.7,3.9,1.2,-5.5
P.J. Washington,6-7,230,22,12.9,6.5,2.5,0.6
PJ Dozier,6-6,205,24,7.7,3.6,1.8,9.5
Pascal Siakam,6-9,230,27,21.4,7.2,4.5,3
Pat Connaughton,6-5,209,28,6.8,4.8,1.2,6.9
